Census Year,County,lat,lng,Type of Livestock,VALUE
2000,Louth,53.94861,-6.54139,Total sheep,1621.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2140.7
2000,Louth,53.94861,-6.54139,Total cattle,2752.0
2000,Louth,53.94861,-6.54139,Dairy cows,405.0
2000,Louth,53.94861,-6.54139,Other cows,244.0
2000,Louth,53.94861,-6.54139,Total sheep,1019.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2039.9
2000,Louth,53.94861,-6.54139,Total cattle,2827.0
2000,Louth,53.94861,-6.54139,Dairy cows,444.0
2000,Louth,53.94861,-6.54139,Other cows,443.0
2000,Louth,53.94861,-6.54139,Total sheep,1170.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),5468.1
2000,Carlow,53.94861,-6.54139,Total cattle,2891.0
2000,Carlow,53.94861,-6.54139,Dairy cows,315.0
2000,Carlow,53.94861,-6.54139,Other cows,632.0
2000,Carlow,53.94861,-6.54139,Total sheep,5882.0
2000,Carlow,53.94861,-6.54139,Livestock Units (LSU),2513.2
2000,Louth,53.94861,-6.54139,Total cattle,2935.0
2000,Louth,53.94861,-6.54139,Dairy cows,592.0
2000,Louth,53.94861,-6.54139,Other cows,298.0
2000,Louth,53.94861,-6.54139,Total sheep,2243.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2329.0
2000,Louth,53.94861,-6.54139,Total cattle,4055.0
2000,Louth,53.94861,-6.54139,Dairy cows,950.0
2000,Louth,53.94861,-6.54139,Other cows,279.0
2000,Louth,53.94861,-6.54139,Total sheep,2615.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),3220.6
2000,Louth,53.94861,-6.54139,Total cattle,4640.0
2000,Louth,53.94861,-6.54139,Dairy cows,1457.0
2000,Louth,53.94861,-6.54139,Other cows,324.0
2000,Louth,53.94861,-6.54139,Total sheep,530.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),3230.3
2000,Louth,53.94861,-6.54139,Total cattle,0.0
2000,Louth,53.94861,-6.54139,Dairy cows,0.0
2000,Louth,53.94861,-6.54139,Other cows,0.0
2000,Louth,53.94861,-6.54139,Total sheep,0.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),215.8
2000,Louth,53.94861,-6.54139,Total cattle,1511.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,317.0
2000,Carlow,52.84083, -6.92611,Total sheep,4088.0
